RUN,GEN,SMILES,VINA
8,29,C=C1C=CC2=C(C)N=C(N3CCC([C@]4(C)[N]C(=N)[N+](C5Cc6ccccc6C5)=C4O)CC3)[N][C@H]2C1,-9.9
8,29,CC1=CC=C2C(C)=[N+]=C(N3CCC([C@]4(C)[NH2+]C(N=[N+]=[N-])=[N+](C5Cc6ccccc6C5)C4=O)CC3)[N][C@@H]2C1,-9.9
6,16,CC1=C2CC3=C(C=C2NC(N2CCC(C(=O)[N]CC4Cc5ccccc5C4)CC2)=[NH+]1)CCC3,-9.9
6,21,CC1=C2CC3=C(C=C2[NH2+]C(N2CCC(/C(N)=N\CC4Cc5ccccc5C4)CC2)=N1)CCC3,-9.9
6,29,CC1=C2CC3=C(C=C2NC(N2CCC(/C(N)=[NH+]\CC4Cc5ccccc5C4)CC2)=N1)CCC3,-9.9
7,7,CC(=O)N1C(=C2CCN(C(=O)c3c[nH+]c4ccccc4c3)CC2)N(C(=O)Nc2ccc3c(c2)OC(F)(F)O3)c2ccc(F)cc21,-9.9
7,21,C[C@@H]1[NH2+]C(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=Nc2cc3c(cc21)CCC3,-9.9
7,23,CC(=O)N1C(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=Nc2cc3c(cc2[C@@H]1C)CCC3,-9.9
7,25,C[C]1NC(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=N[C@@H]2C=C3CCCC3=C[C]12,-9.9
7,29,C[C]1NC(N2CCC(/C(O)=[N+](\C)Cc3ccc4c5c(cccc35)C=C4)CC2)=[NH+][C@H]2C=C3CCCC3=C[C]12,-9.9
7,29,C[C@@H]1NC(N2CCC(/C(O)=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=Nc2cc3c(cc21)CCC3,-9.9
7,30,C[C@@H]1[NH2+]C(N2CCC(/C(O)=[N+](\C)Cc3ccc4c5c(cccc35)C=C4)CC2)=Nc2cc3c(cc21)CCC3,-9.9
7,26,C[C@@H]1[NH2+]C(N2CCC(/C(N=[N+]=[N-])=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=Nc2cc3c(cc21)CCC3,-9.9
1,9,CC1=C2C=C(F)C=C[C@@H]2[N]C(N2CCC(=C([O-])[N]Cc3ccc4c(c3)C=C3CC=CC(c5c(Cl)c(=O)c5=O)=C34)CC2)=N1,-9.9
1,24,C=C1NC(N2CCC(/C(O)=N\Cc3ccc4ccccc4c3)CC2)=[NH+][C@@H]2CC=C(C)C=C12,-9.9
1,24,C=C1[NH+]=C(N2CCC(=C([O-])NCc3ccc4ccccc4c3)CC2)[N][C@@H]2CC=C(F)C=C12,-9.9
1,24,CC1=[N+]=C(N2CCC(=C(O)[N]Cc3ccc4ccccc4c3)CC2)[N][C@@H]2CC=C(F)C=C12,-9.9
1,30,CC1=CC2=C(C)[NH+]=C(N3CCC(/C(O)=N\Cc4ccc5ccccc5c4)CC3)N[C@H]2C=C1,-9.9
5,26,[N-]=[N+]=N/C([C@H]1C/C(=C\c2ccc3c(c2)OC(F)(F)O3)NO1)=[N+]1\CCCN(c2nc3ccccc3o2)CC1,-9.9
5,26,[N-]=[N+]=N/C(=C1\C=C(Cc2ccc3c(c2)OC(F)(F)O3)NO1)[N@H+]1CCCN(c2[nH+]c3ccccc3o2)CC1,-9.9
5,26,O=C([C@@H]1C=C(Cc2ccc3c(c2)OC(F)(F)O3)[NH2+]O1)[N@@H+]1CCCN(c2[nH+]c3ccccc3o2)CC1,-9.9
5,26,O=C([C@H]1C=C(Cc2ccc3c(c2)OC(F)(F)O3)NO1)[N@H+]1CCCN(c2nc3ccccc3o2)CC1,-9.9
3,21,Cc1cc2cc(C(=O)NC(=O)[C@@H]3CCCN3C3=N[C@@H](C)[C@@H]4C[C@@]5(F)C=CC=C[C@@H]5C[C@H]4N3)ccc2o1,-9.9
3,21,Cc1cc2cc(/C(N)=[NH+]/C(=O)[C@@H]3CCCN3C3=Nc4c(cc5ccccc5c4F)[C@H](C)[NH2+]3)ccc2o1,-9.9
3,21,Cc1cc2cc(C(=O)NC(=O)[C@@H]3CCCN3C3=[NH+][C@@H](C)[C@H]4C[C@@]5(F)C=CC=C[C@@H]5C[C@H]4N3)ccc2o1,-9.9
3,23,Cc1cc2cc(C(=O)NC(=O)[C@@H]3CCCN3C3=N[C@@H]4C[C@H]5C=CC=C[C@]5(F)C[C@H]4[C@@H](C)N3)ccc2o1,-9.9
3,29,C[C]1NC(N2CCC[C@H]2C(=O)NC(=O)c2ccc3oc(C)cc3c2)=[NH+][C@@H]2C[C@H]3C=CC=C[C@]3(F)C[C]12,-9.9
2,19,C[C@]1(C2CC[NH+](C(=O)c3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1O,-9.8
2,24,C[C@@]1(C2CCN(Cc3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=N)[N+](C2Cc3ccccc3C2)=C1O,-9.8
2,16,C[C@@]1(C2CCN(Cc3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1N=[N+]=[N-],-9.8
2,30,C[C@@]1(C2CC[NH+](Cc3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=N)[N+](C2Cc3ccccc3C2)=C1O,-9.8
2,30,C[C@]1(C2CC[NH+](Cc3ccc4c(c3)C=C3CC=CC=C34)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1O,-9.8
9,30,Cc1cccnc1[N]C(=O)[C@H]1CCC[N@H+](C([O-])=C2CC[NH+](C(=O)c3ccc4ccccc4c3)CC2)C1,-9.8
9,30,C[C@H](C1=N[N]C(=O)c2ccccc21)C1=Nc2cc(F)c(F)cc2C(=O)[N@+]12C=CCN(C1Cc3ccccc3C1)CC2,-9.8
9,30,C[C@@H](C1=N[N]C(=O)c2ccccc21)C1=Nc2cc(F)c(F)cc2C(=O)[N@+]12C=CCN(C1Cc3ccccc3C1)CC2,-9.8
9,30,C[C@H](C1=N[N]C(=O)c2ccccc21)C1=Nc2cc(F)c(F)cc2C(=O)[N@+]12C=CC[N@H+](C1Cc3ccccc3C1)CC2,-9.8
9,30,Cc1cccnc1[N]C(=O)[C@H]1CCC/[N+](=C(/O)C2CCN(C(=O)c3ccc4ccccc4c3)CC2)C1,-9.8
9,30,C[C@H](C1=N[N]C(=O)c2ccccc21)C1=Nc2cc(F)c(F)cc2C(=O)[N@+]12C=CC[N@@H+](C1Cc3ccccc3C1)CC2,-9.8
4,19,Cc1[nH+]c(N2CCC([C@@]3(C)[NH2+]C(N=[N+]=[N-])=[N+](C4Cc5ccccc5C4)C3=O)CC2)nc2ccccc12,-9.8
4,19,C[C@@]1(C2CC[NH+]([C@]3(O)O[C@H]3c3ccc4c(c3)OCO4)CC2)[N]C(O)=[N+](C2Cc3ccccc3C2)C1=O,-9.8
4,24,Cc1[nH+]c(N2CCC([C@@]3(C)N=C(N=[N+]=[N-])[N+](C4Cc5ccccc5C4)=C3O)CC2)nc2ccccc12,-9.8
4,24,C=C1CC=C2C(C)=NC(N3CCC(=C(O)N(C)Cc4ccc5c6c(cccc46)C=C5)CC3)=N[C@@H]2C1,-9.8
4,24,Cc1nc(N2CCC(C(=O)N(C)Cc3ccc4c5c(cccc35)C=C4)CC2)[nH+]c2ccccc12,-9.8
4,24,CC1=C[C@H]2[N]C(N3CCC([C@]4(C)[NH2+]C(N=[N+]=[N-])=[N+](C5Cc6ccccc6C5)C4=O)CC3)=NC(C)=C2C=C1,-9.8
4,27,Cc1nc(N2CCC(=C(O)N(C)Cc3ccc4c5c(cccc35)C=C4)CC2)[nH+]c2ccc(C(C)C)cc12,-9.8
4,28,C=C1NC(N2CCC(/C(N=[N+]=[N-])=[N+](/C)Cc3ccc4c5c(cccc35)C=C4)CC2)=[NH+][C@H]2C=C(C)CC=C12,-9.8
4,28,C=C1C=CC2=C(C)N=C(N3CCC(=C(N=[N+]=[N-])N(C)Cc4ccc5c6c(cccc46)C=C5)CC3)[NH2+][C@@H]2C1,-9.8
4,30,Cc1nc(N2CCC(=C(O)N(C)Cc3ccc4c5c(cccc35)C=C4)CC2)nc2ccccc12,-9.8
8,26,C=C1[NH+]=C([NH+]2CCC([C@]3(C)[N]C(N)=[N+](C4Cc5ccccc5C4)C3=O)CC2)[N][C@H]2CC(C)=CC=C12,-9.8
8,29,C=C1C=CC2=C(C)N(C(C)=O)C(N3CCC(C(=O)[N]CCc4ccc(C)c5ccccc45)CC3)=N[C@H]2C1,-9.8
