RUN,GEN,SMILES,VINA
3,19,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N)=C1/CCC(=N)N(C2Cc3ccccc3C2)C1,-12.1
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N)=C1/CCC(N)=[N+](C2Cc3ccccc3C2)C1,-12.1
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2NC(=O)[C@H]1CC=C(N)[N@@H+](C2Cc3ccccc3C2)C1,-12.1
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([NH3+])=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12.1
3,30,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(O)=C1/CCC(N)=[N+](C2Cc3ccccc3C2)C1,-12.1
3,30,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[N-]C(=O)[C@H]1CCC(N)=[N+](C2Cc3ccccc3C2)C1,-12.1
9,30,Cc1cc(C(=O)N2CCC([C@]3(C)NC(=[NH2+])[N+](C4Cc5ccccc5C4)=C3O)CC2)c2ccccc2c1,-12
9,30,Cc1cc(C(=O)N2CCC([C@]3(C)NC(=N)[N+](C4Cc5ccccc5C4)=C3O)CC2)c2ccccc2c1,-12
9,30,Cc1cc(C(=O)N2CCC([C@]3(C)[NH2+]C(=N)[N+](C4Cc5ccccc5C4)=C3O)CC2)c2ccccc2c1,-12
9,30,Cc1cc(CN2CCC([C@@]3(C)NC(N)=[N+](C4Cc5ccccc5C4)C3=O)CC2)cc2c1C1=CC=CCC1=C2,-12
9,30,Cc1cc(C(=O)N2CCC([C@]3(C)N=C(N)[N+](C4Cc5ccccc5C4)=C3O)CC2)c2ccccc2c1,-12
7,26,Cn1nc(/C(N)=[N+]2\CCc3ccccc3C2)c2cc(N3CC=C(c4ccc5ccccc5c4)CC3)ccc21,-12
2,12,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(=O)N(C2Cc3ccccc3C2)C1=O,-12
2,12,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(N=[N+]=[N-])=[N+](C2Cc3ccccc3C2)C1=O,-12
2,25,C[C@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1N,-12
2,25,C[C@@]1(C2CCN(CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(O)=[N+](C2Cc3ccccc3C2)C1=O,-12
2,25,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N-]C(=O)[N+](C2Cc3ccccc3C2)=C1N=[N+]=[N-],-12
2,27,C[C@]1(C2CCN(CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(O)=[N+](C2Cc3ccccc3C2)C1=O,-12
2,29,C[C@]1(C2CCN(CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)NC(=O)N(C2Cc3ccccc3C2)C1=O,-12
3,19,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N=[N+]=[N-])=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C(N=C=S)=C1/CCC(=N)N(C2Cc3ccccc3C2)C1,-12
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C([NH3+])=C1\CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-12
3,27,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N)=C1\CCC(=N)N(C2Cc3ccccc3C2)C1,-12
3,27,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[N-]C(=O)[C@H]1CC=C([NH3+])[N@@H+](C2Cc3ccccc3C2)C1,-12
3,27,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C(N)=C1/CCC(=N)N(C2Cc3ccccc3C2)C1,-12
3,27,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2N/C(N=[N+]=[N-])=C1/CC=C(N)N(C2Cc3ccccc3C2)C1,-12
3,30,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C([NH3+])=C1\CCC(N)=[N+](C2Cc3ccccc3C2)C1,-12
9,30,Cc1cc(C(=O)N2CCC([C@]3(C)NC(=O)[N+](C4Cc5ccccc5C4)=C3O)CC2)c2ccccc2c1,-11.9
9,30,Cc1cc(C(=O)N2CCC([C@]3(C)[N]C(=N)[N+](C4Cc5ccccc5C4)=C3O)CC2)c2ccccc2c1,-11.9
9,14,Cc1cc(C[NH+]2CCC([C@]3(C)[NH2+]C(=O)[N+](C4Cc5ccccc5C4)=C3O)CC2)cc2c1C1=CC=CCC1=C2,-11.9
2,12,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1N=[N+]=[N-],-11.9
2,25,C[C@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(O)=[N+](C2Cc3ccccc3C2)C1=[NH2+],-11.9
2,25,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(N)=[N+](C2Cc3ccccc3C2)C1=O,-11.9
2,25,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[NH2+]C(O)=[N+](C2Cc3ccccc3C2)C1=N,-11.9
2,25,C[C@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C([NH3+])=[N+](C2Cc3ccccc3C2)C1=O,-11.9
2,25,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)NC(=O)[N+](C2Cc3ccccc3C2)=C1O,-11.9
2,25,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)NC(=O)N(C2Cc3ccccc3C2)C1=O,-11.9
2,27,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N-]C(=O)[N+](C2Cc3ccccc3C2)=C1[NH3+],-11.9
2,28,C[C@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(=N)[N+](C2Cc3ccccc3C2)=C1O,-11.9
2,29,C[C@@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(=O)[N+](C2Cc3ccccc3C2)=C1[NH3+],-11.9
2,30,C[C@]1(C2CC[NH+](CC3=C[C@@H]4C=c5ccccc5=C4C=C3)CC2)[N]C(=[NH2+])[N+](C2Cc3ccccc3C2)=C1O,-11.9
3,19,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2NC(=O)[C@H]1CC=C([O-])N(C2Cc3ccccc3C2)C1,-11.9
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C(N=[N+]=[N-])=C1/CCC(=[NH2+])N(C2Cc3ccccc3C2)C1,-11.9
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2NC(=O)[C@H]1CC=C(O)N(C2Cc3ccccc3C2)C1,-11.9
3,24,Cc1ccc2c(c1)-c1c(C)cccc1[C@@H]2[NH2+]/C(C#N)=C1/CC=C(N)N(C2Cc3ccccc3C2)C1,-11.9
