Run,Iteration,SMILES,Deep Frag Score,VINA
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(OO)c4)o3)c2C)cc1,0.571126,-9.308
6,1,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3Cc4ccccc4CC3C)c2)nc1,0.749773,-9.301
6,3,Cc1ccc(N(O)C(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)nc1,0.713623,-9.3
4,5,COc1cccc2c1OC(C(=O)Nc1cc(F)cc(C(=O)Nc3c(C)n(C)n(-c4cccc(F)c4O)c3=O)c1)C2,0.799672,-9.295
8,8,Cc1c(N2CCN(CC(=O)N3N=C(c4cc(O)c5ccccc5c4O)CC3c3cc(F)c(F)c(F)c3F)CC2)ccc(O)c1O,0.702904,-9.294
10,4,COc1cc(C)c(O)cc1Cn1nc(C)c2cc(C(=O)OCC(=O)NC(O)c3ccc4c(c3)OCO4)sc21,0.697371,-9.293
8,9,Cc1c(N2CCN(CC(=O)N3N=C(c4cc(O)c5ccccc5c4)CC3c3cc(F)c(F)c(F)c3F)C(CC=O)C2)cc(O)c(O)c1O,0.59445,-9.293
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])c(ON)c4)o3)c2C)cc1,0.572272,-9.276
5,2,Cc1ccc(Cn2nc(C)c(C=CC(=O)OC(c3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)C(C)(C)C)c2C)cc1,0.634046,-9.267
6,3,Cc1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)cc1OO,0.558911,-9.266
6,1,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4c(O)cccc4C3)c2)nc1,0.921475,-9.261
6,3,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4c(cc(O)c(O)c4O)C3)c2)nc1,0.962719,-9.258
2,1,Cc1ccc(Cn2nc(C)c3cc(C(=O)OCc4cc(=O)oc5ccc6ccccc6c45)sc32)cc1O,0.954,-9.254
6,3,Cc1ccc(NC(=O)c2cc(F)cc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2)nc1,0.812408,-9.254
6,2,Cc1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)ccc4C3)c2)c(F)c1,0.589156,-9.246
2,8,CCOCC(OC(=O)c1sc2c(c(C)nn2Cc2ccc(C)c(O)c2)c1C)c1cc(=O)oc2ccc3cccc(OC)c3c12,0.643123,-9.234
5,2,Cc1ccc(Cn2nc(C)c(C=CC(=O)OC(CC(C)C)c3nnc(-c4ccc([N+](=O)[O-])c(O)c4)o3)c2C)cc1,0.643199,-9.23
6,3,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4cc(O)c(O)cc4C3)c2O)nc1,0.845783,-9.229
4,3,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4cccc(O)c4O3)c2)c(=O)n(-c2ccc(F)c(F)c2)n1C,0.908348,-9.229
8,9,C=COc1c(C)c(N2CCN(CC(=O)N3N=C(c4cc(O)c5ccccc5c4)CC3c3cc(F)c(F)c(F)c3F)CC2)cc(O)c1O,0.578622,-9.228
5,3,COc1cc(-c2nnc(COC(=O)C=Cc3c(C)nn(C(F)c4ccc(C)cc4)c3C)o2)ccc1[N+](=O)[O-],0.932406,-9.226
4,4,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4cccc(O)c4O3)c2O)c(=O)n(-c2cccc(F)c2O)n1C,0.777566,-9.223
4,3,Cc1c(NC(=O)c2cc(NC(=O)C3Cc4cccc(O)c4O3)ccc2O)c(=O)n(-c2cccc(F)c2)n1C,0.863115,-9.22
2,1,COc1ccc2ccc3oc(=O)cc(COC(=O)c4cc5c(C)nn(Cc6ccc(C)cc6)c5s4)c3c2c1,0.599385,-9.219
10,3,CC(=O)N(Cc1ccc2c(c1)OCO2)C(=O)COC(=O)c1cc2c(C)nn(Cc3cc(O)c(C)cc3O)c2s1,0.567281,-9.213
8,8,O=C(CN1CCN(c2ccc(O)c(O)c2CF)CC1)N1N=C(c2cc(O)c3ccccc3c2)CC1c1cc(F)c(F)c(F)c1F,0.896347,-9.213
5,1,Cc1ccc(Cn2nc(C)c(C=CC(=O)OCc3nnc(-c4ccc([N+](=O)[O-])cc4)o3)c2C)cc1C,0.680274,-9.212
3,4,Cc1cc(O)c2oc(C3(O)CCN(C(=O)c4c(C)nn(Cc5cccc(O)c5O)c4C)CC3)nc2c1,0.851255,-9.208
6,2,Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCc4c(ccc(O)c4O)C3)c2)nc1,0.950202,-9.205
10,3,Cc1cc(O)c(Cn2nc(C)c3c(F)c(C(=O)OCC(=O)NCc4ccc5c(c4)OCO5)sc32)cc1O,0.664602,-9.198
4,3,Cc1c(NC(=O)c2cccc(NC(=O)C3Cc4c(O)ccc(O)c4O3)c2)c(=O)n(-c2cccc(F)c2)n1C,0.922404,-9.195
2,3,COc1cccc2ccc3oc(=O)cc(COC(=O)c4sc5c(c(C)nn5Cc5ccc(C)cc5)c4O)c3c12,0.917915,-9.195
